Название,Автор,Жанр,Описание,Дата издания,Мировой рейтинг
Мастер и Маргарита,Михаил Булгаков,Фантастика,"Роман о дьяволе, посетившем Москву в 1930-х годах",1967,4.8
Преступление и наказание,Фёдор Достоевский,Классика,"История студента, совершившего убийство",1866,4.7
Замок,Алексей Иванов,Научная литература,Книга 'Замок' - это глубокое исследование человеческой природы через призму научная литература.,1966,1.4
Весна черного ворона,Марк Твен,Приключения,Увлекательный сюжет и яркие персонажи делают эту книгу настоящей жемчужиной творчества Марк Твен.,1810,3.2
Полночь алмазной горы,Владимир Набоков,Поэзия,Увлекательный сюжет и яркие персонажи делают эту книгу настоящей жемчужиной творчества Владимир Набоков.,1854,1.1
Мир древних цивилизаций,Элис Манро,Ужасы,"История о любви, предательстве и искуплении, мастерски рассказанная Элис Манро.",1803,3.2
Осень заката,Дэн Браун,Комедия,"Произведение, в котором Дэн Браун раскрывает сложные социальные проблемы через увлекательное повествование.",1871,4.4
Солнце серебряного века,Жан-Поль Сартр,Приключения,"Произведение, в котором Жан-Поль Сартр раскрывает сложные социальные проблемы через увлекательное повествование.",1929,3.8
Осень темной души,Маргарет Этвуд,Детектив,"Книга, которая изменила представление о жанре детектив и принесла Маргарет Этвуд мировую известность.",1890,3.6
Мечта несбывшихся желаний,Джоан Роулинг,Драма,"Книга, получившая множество литературных премий и признание критиков во всем мире.",1838,2.5
Замок черного ворона,Оскар Уайльд,История,"Увлекательное повествование, раскрывающее тайны и загадки в лучших традициях история.",1848,3.9
Хроники алмазной горы,Милан Кундера,Психология,Увлекательный сюжет и яркие персонажи делают эту книгу настоящей жемчужиной творчества Милан Кундера.,2024,4.5
Война рассвета,Джордж Мартин,Научная фантастика,"История о любви, предательстве и искуплении, мастерски рассказанная Джордж Мартин.",1893,3.1
Мир восьми благословений,Андрей Платонов,Ужасы,Увлекательный сюжет и яркие персонажи делают эту книгу настоящей жемчужиной творчества Андрей Платонов.,1944,3.4
Остров великих открытий,Джеймс Джойс,Драма,"Увлекательное повествование, раскрывающее тайны и загадки в лучших традициях драма.",1861,4.9
Эхо,Иосиф Бродский,Психология,"Книга, получившая множество литературных премий и признание критиков во всем мире.",1847,5.0
Отчаяние,Милан Кундера,Ужасы,Книга 'Отчаяние' - это глубокое исследование человеческой природы через призму ужасы.,1905,3.4
Надежда,Захар Прилепин,Боевик,"Одно из лучших произведений Захар Прилепин, ставшее классикой жанра боевик.",2011,3.2
Смерть бронзового века,Дэн Браун,Философия,"Захватывающее произведение Дэн Браун в жанре философия, рассказывающее о приключениях главных героев.",1876,3.6
Наследие двух столиц,Виктор Пелевин,Психология,"История о любви, предательстве и искуплении, мастерски рассказанная Виктор Пелевин.",1884,1.3
